section_order,section,file_order,directory,directory,filename,description
1,General Scripts,1,scripts/general_scripts,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/general_scripts,collect_data.R,Collect FERC and EIA tables from the Catalyst Co-op pudl sqlite file
1,General Scripts,2,scripts/general_scripts,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/general_scripts,clean_positive_matches.R,Load the ground-truth mappings from FERC:EIA; ensure that every row in it is something that we can use in this model
1,General Scripts,3,scripts/general_scripts,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/general_scripts,create_training_matches_and_mismatches.R,"First step in creating training dataset: for each ‘ground-truth’ mapping, note several thousand non-valid mappings"
1,General Scripts,4,scripts/general_scripts,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/general_scripts,entire_dataset_cartesian_product_of_ferc_and_eia_ids.R,"For each FERC observation in a given year, note every EIA observation that it could hypothetically be mapped onto; constrain these mappings only by blocking by year"
2,"Prepare training data, models A",1,scripts/model_a,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_a,model_a_create_comparable_metrics_training.R,Compare easily comparable metrics
2,"Prepare training data, models A",2,scripts/model_a,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_a,model_a_feature_engineering_training.R,Feature engineering
2,"Prepare training data, models A",(not run),scripts/model_a,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_a,model_a_create_comparable_metrics_functions.R,Establish functions to be sourced when comparing easily-comparable metrics
2,"Prepare training data, models A",(not run),scripts/model_a,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_a,model_a_feature_engineering_functions.R,Establish functions to be sourced for feature engineering
3,"Prepare training data, models B",1,scripts/model_b,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_b,model_b_precreate_comparison_tables.R,Perform all of the metrics comparisons that will be noted in the feature engineering
3,"Prepare training data, models B",2,scripts/model_b,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_b,model_b_feature_engineering_training.R,Feature engineering
3,"Prepare training data, models B",(not run),scripts/model_b,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_b,model_b_feature_engineering_functions.R,Establish functions to be sourced for feature engineering
4,"Create model A, ANN",1,scripts/model_a/model_a_ann/model_a_ann_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_a/model_a_gbm/model_a_gbm_training,model_a_ann_hyperparameter_search.ipynb,Perform an initial search for optimal hyperparameters
4,"Create model A, ANN",1,scripts/model_a/model_a_ann/model_a_ann_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_a/model_a_gbm/model_a_gbm_training,model_a_ann_hyperparameter_search.py,Perform an initial search for optimal hyperparameters
4,"Create model A, ANN",2,scripts/model_a/model_a_ann/model_a_ann_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_a/model_a_ann/model_a_ann_training,model_a_ann_hyperparameter_search_dig_into_best_candidates.ipynb,Perform cross-validation to dig into the most promising hyperparameters
4,"Create model A, ANN",2,scripts/model_a/model_a_ann/model_a_ann_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_a/model_a_ann/model_a_ann_training,model_a_ann_hyperparameter_search_dig_into_best_candidates.py,Perform cross-validation to dig into the most promising hyperparameters
4,"Create model A, ANN",3,scripts/model_a/model_a_ann/model_a_ann_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_a/model_a_gbm/model_a_gbm_training,model_a_ann_hyperparameter_search_final_metrics_analysis.R,Choose which hyperparameters from the cross-validation to use for the final model
4,"Create model A, ANN",4,scripts/model_a/model_a_ann/model_a_ann_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_a/model_a_ann/model_a_ann_training,model_a_ann_fit.ipynb,Fit model
4,"Create model A, ANN",4,scripts/model_a/model_a_ann/model_a_ann_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_a/model_a_ann/model_a_ann_training,model_a_ann_fit.py,Fit model
5,"Create model A, GBM",1,scripts/model_a/model_a_gbm/model_a_gbm_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_b/model_b_ann/model_b_ann_training,model_a_gbm_hyperparameter_search.ipynb,Perform an initial search for optimal hyperparameters
5,"Create model A, GBM",1,scripts/model_a/model_a_gbm/model_a_gbm_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_b/model_b_ann/model_b_ann_training,model_a_gbm_hyperparameter_search.py,Perform an initial search for optimal hyperparameters
5,"Create model A, GBM",2,scripts/model_a/model_a_gbm/model_a_gbm_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_b/model_b_gbm/model_b_gbm_training,model_a_gbm_hyperparameters_search_2_cv.ipynb,Perform cross-validation to dig into the most promising hyperparameters
5,"Create model A, GBM",3,scripts/model_a/model_a_gbm/model_a_gbm_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_b/model_b_gbm/model_b_gbm_training,model_a_train_rank_hyperparameters.R,Choose which hyperparameters from the cross-validation to use for the final model
5,"Create model A, GBM",4,scripts/model_a/model_a_gbm/model_a_gbm_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_b/model_b_ann/model_b_ann_training,model_a_gbm_fit.ipynb,Fit model
5,"Create model A, GBM",4,scripts/model_a/model_a_gbm/model_a_gbm_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_b/model_b_ann/model_b_ann_training,model_a_gbm_fit.py,Fit model
